year,month,temperature
1850,2,-0.202
1850,3,-0.367
1850,4,-0.596
1850,5,-0.619
1850,6,-0.332
1850,7,-0.151
1850,8,-0.149
1850,9,-0.416
1850,10,-0.59
1850,11,-0.572
1850,12,-0.481
1851,1,-0.159
1851,2,-0.402
1851,3,-0.55
1851,4,-0.626
1851,5,-0.326
1851,6,-0.24
1851,7,-0.198
1851,8,-0.295
1851,9,-0.387
1851,10,-0.144
1851,11,-0.377
1851,12,-0.145
1852,1,-0.239
1852,2,-0.506
1852,3,-0.725
1852,4,-0.526
1852,5,-0.146
1852,6,-0.099
1852,7,-0.02
1852,8,-0.336
1852,9,-0.299
1852,10,-0.162
1852,11,-0.536
1852,12,0.087
1853,1,-0.266
1853,2,-0.346
1853,3,-0.396
1853,4,-0.273
1853,5,-0.263
1853,6,-0.16
1853,7,0.05
1853,8,-0.043
1853,9,-0.393
1853,10,-0.47
1853,11,-0.65
1853,12,-0.324
1854,1,-0.547
1854,2,-0.584
1854,3,-0.276
1854,4,-0.349
1854,5,-0.278
1854,6,-0.456
1854,7,-0.156
1854,8,-0.182
1854,9,-0.248
1854,10,0.115
1854,11,-0.236
1854,12,-0.203
1855,1,-0.05
1855,2,-0.105
1855,3,-0.262
1855,4,-0.082
1855,5,-0.221
1855,6,-0.324
1855,7,-0.359
1855,8,-0.235
1855,9,-0.468
1855,10,-0.306
1855,11,-0.387
1855,12,-0.54
1856,1,0.034
1856,2,-0.386
1856,3,-0.406
1856,4,-0.406
1856,5,-0.334
1856,6,-0.121
1856,7,-0.236
1856,8,-0.512
1856,9,-0.711
1856,10,-0.677
1856,11,-0.575
1856,12,-0.426
1857,1,-0.507
1857,2,-0.542
1857,3,-0.629
1857,4,-0.815
1857,5,-0.751
1857,6,-0.546
1857,7,-0.487
1857,8,-0.446
1857,9,-0.477
1857,10,-0.529
1857,11,-0.502
1857,12,-0.223
1858,1,-0.21
1858,2,-0.489
1858,3,-0.307
1858,4,-0.279
1858,5,-0.406
1858,6,-0.255
1858,7,-0.313
1858,8,-0.317
1858,9,-0.482
1858,10,-0.282
1858,11,-0.178
1858,12,-0.492
1859,1,-0.348
1859,2,-0.294
1859,3,-0.24
1859,4,0.011
1859,5,0.017
1859,6,-0.112
1859,7,-0.308
1859,8,-0.349
1859,9,-0.522
1859,10,-0.241
1859,11,-0.192
1859,12,-0.089
1860,1,-0.328
1860,2,-0.31
1860,3,-0.694
1860,4,-0.278
1860,5,-0.217
1860,6,-0.199
1860,7,-0.26
1860,8,-0.209
1860,9,-0.294
1860,10,-0.354
1860,11,-0.533
1860,12,-0.861
1861,1,-1.004
1861,2,-0.658
1861,3,-0.583
1861,4,-0.438
1861,5,-0.448
1861,6,-0.369
1861,7,-0.313
1861,8,-0.199
1861,9,-0.412
1861,10,-0.475
1861,11,-0.216
1861,12,-0.351
1862,1,-0.918
1862,2,-0.766
1862,3,-0.545
1862,4,-0.568
1862,5,-0.294
1862,6,-0.315
1862,7,-0.33
1862,8,-0.491
1862,9,-0.543
1862,10,-0.46
1862,11,-0.556
1862,12,-0.862
1863,1,-0.117
1863,2,-0.133
1863,3,-0.334
1863,4,-0.26
1863,5,-0.223
1863,6,-0.339
1863,7,-0.357
1863,8,-0.373
1863,9,-0.498
1863,10,-0.452
1863,11,-0.374
1863,12,-0.293
1864,1,-0.491
1864,2,-0.403
1864,3,-0.426
1864,4,-0.402
1864,5,-0.131
1864,6,-0.089
1864,7,-0.187
1864,8,-0.338
1864,9,-0.488
1864,10,-0.343
1864,11,-0.389
1864,12,-0.456
1865,1,0.075
1865,2,-0.305
1865,3,-0.416
1865,4,-0.382
1865,5,-0.269
1865,6,-0.263
1865,7,-0.187
1865,8,-0.194
1865,9,-0.222
1865,10,-0.205
1865,11,-0.169
1865,12,-0.479
1866,1,0.025
1866,2,-0.359
1866,3,-0.454
1866,4,-0.511
1866,5,-0.352
1866,6,-0.251
1866,7,0.111
1866,8,-0.224
1866,9,-0.307
1866,10,-0.248
1866,11,-0.051
1866,12,0.089
1867,1,-0.153
1867,2,-0.333
1867,3,-0.285
1867,4,-0.139
1867,5,-0.387
1867,6,-0.202
1867,7,-0.192
1867,8,-0.269
1867,9,-0.143
1867,10,0.018
1867,11,0.25
1867,12,-0.162
1868,1,-0.504
1868,2,-0.651
1868,3,-0.31
1868,4,-0.119
1868,5,-0.085
1868,6,-0.123
1868,7,0.054
1868,8,-0.062
1868,9,-0.258
1868,10,0.001
1868,11,-0.326
1868,12,-0.143
1869,1,-0.212
1869,2,0.04
1869,3,-0.517
1869,4,-0.259
1869,5,-0.166
1869,6,-0.18
1869,7,-0.231
1869,8,-0.185
1869,9,-0.083
1869,10,-0.213
1869,11,-0.195
1869,12,-0.412
1870,1,-0.304
1870,2,-0.483
1870,3,-0.34
1870,4,-0.271
1870,5,-0.193
1870,6,-0.087
1870,7,-0.087
1870,8,-0.276
1870,9,-0.199
1870,10,-0.321
1870,11,-0.323
1870,12,-0.569
1871,1,-0.545
1871,2,-0.605
1871,3,-0.259
1871,4,-0.059
1871,5,-0.276
1871,6,-0.215
1871,7,-0.147
1871,8,-0.188
1871,9,-0.395
1871,10,-0.242
1871,11,-0.536
1871,12,-0.388
1872,1,-0.45
1872,2,-0.401
1872,3,-0.347
1872,4,-0.352
1872,5,-0.177
1872,6,-0.256
1872,7,-0.107
1872,8,-0.035
1872,9,-0.187
1872,10,-0.198
1872,11,-0.421
1872,12,-0.486
1873,1,-0.305
1873,2,-0.077
1873,3,-0.263
1873,4,-0.451
1873,5,-0.266
1873,6,-0.201
1873,7,-0.168
1873,8,-0.144
1873,9,-0.372
1873,10,-0.237
1873,11,-0.339
1873,12,-0.224
1874,1,-0.211
1874,2,-0.263
1874,3,-0.624
1874,4,-0.355
1874,5,-0.211
1874,6,-0.314
1874,7,-0.257
1874,8,-0.175
1874,9,-0.167
1874,10,-0.311
1874,11,-0.419
1874,12,-0.312
1875,1,-0.465
1875,2,-0.362
1875,3,-0.445
1875,4,-0.374
1875,5,-0.273
1875,6,-0.269
1875,7,-0.212
1875,8,-0.257
1875,9,-0.277
1875,10,-0.188
1875,11,-0.573
1875,12,-0.46
1876,1,-0.372
1876,2,-0.265
1876,3,-0.286
1876,4,-0.272
1876,5,-0.522
1876,6,-0.329
